"READ_CODE","DESCRIPTION","VERSION","ANTIBIOTICS"
y0Egw,Amoxicillin 125mg/1.25mL susp ... Amoxicillin 125mg/1.25mL paediatric suspension ... ,"3","1"
y0Egx,Amoxicillin 3g/sach s/f powder ... Amoxicillin 3g/sachet s/f powder ... ,"3","1"
y02Nz,Doxycycline 50mg capsule ...  ... ,"3","1"
y02O0,Doxycycline 100mg disp tab ... Doxycycline 100mg dispersible tablet ... ,"3","1"
YapYt,[X] Adv react to amoxicillin ... [X] Adverse reaction to amoxicillin ... ,"3","1"
y02P4,Erythromycin ...  ... ,"3","1"
y02P5,Erythromycin 250mg e/c tablet ...  ... ,"3","1"
y02P8,Erythromycin stearat 500mg tab ... Erythromycin stearate 500mg tablet ... ,"3","1"
y02PO,Erythroped PI 125mg/5mL susp ... Erythroped PI 125mg/5mL suspension ... ,"3","1"
y02PU,Erythroped A 500mg tablet ...  ... ,"3","1"
y02Pd,Erythromycin 250mg/5mL susp ... Erythromycin 250mg/5mL suspension ... ,"3","1"
y02Pe,Erythromycin 500mg/5mL susp ... Erythromycin 500mg/5mL suspension ... ,"3","1"
y02Pl,Azithromycin ...  ... ,"3","1"
yz8e2,PEVANTI 10mg tablets ...  ... ,"3","0"
YaSzO,Rectal prednisol prep allergy ... Rectal prednisolone preparations allergy ... ,"3","0"
y02Kv,Distaclor 250mg capsule ...  ... ,"3","1"
y02L2,Cefaclor 500mg capsule ...  ... ,"3","1"
y0AN4,Cefaclor 125mg/5mL s/f susp ... Cefaclor 125mg/5mL s/f suspension ... ,"3","1"
YaTVV,Intentional cefaclor overdose ...  ... ,"3","1"
YaTVX,Cefuroxime overdose ...  ... ,"3","1"
YaSaR,Hydrocortisone adverse react ... Hydrocortisone adverse reaction ... ,"3","0"
YaSav,Rectal prednisolon prep adv re ... Rectal prednisolone preparations adverse reaction ... ,"3","0"
YaTXo,Dexamethasone overdose ...  ... ,"3","0"
YMI2H,[X] Adv react ciprofloxacin ... [X] Adverse reaction to ciprofloxacin ... ,"3","1"
y0Cmh,Klaricid 250mg/5mL paed susp ... Klaricid 250mg/5mL paediatric suspension ... ,"3","1"
y00LQ,Amoxil 125mg/5mL syrup ...  ... ,"3","1"
y03Wv,Hydrocortisone 1% ointment ...  ... ,"3","0"
y03XD,Hydrocortisone+neomycin ...  ... ,"3","0"
y03XE,Hydrocortisone+lignocaine ...  ... ,"3","0"
y03XN,Hydrocortisone+econazole ...  ... ,"3","0"
y03Xb,Vioform Hydrocortisone oint ... Vioform Hydrocortisone ointment ... ,"3","0"
y03Xe,Hydrocortisone+nystatin ...  ... ,"3","0"
y03Xf,Hydrocort+pot hydroxyquinoline ... Hydrocortisone+potassium hydroxyquinoline ... ,"3","0"
y03Xs,Prednisolone 0.01% pres fr e/d ... Prednisolone 0.01% preservative-free eye drops ... ,"3","0"
y03Wb,Dexamethas 0.1% pres free e/d ... Dexamethasone 0.1% preservative-free eye drops ... ,"3","0"
y07rM,Methylprednisolone acet[skin] ... Methylprednisolone acetate[skin] ... ,"3","0"
y039w,Hydrocort+gentamic 1%/0.3% crm ... Hydrocortisone acetate+gentamicin 1%/0.3% cream ... ,"3","0"
y03A0,Hydrocort+econazole 1%/1% crm ... Hydrocortisone+econazole nitrate 1%/1% cream ... ,"3","0"
y03A1,Hydrocort+miconazol 1%/2% oint ... Hydrocortisone+miconazole nitrate 1%/2% ointment ... ,"3","0"
y03AU,Hydrocortisone but 0.1% oint ... Hydrocortisone butyrate 0.1% ointment ... ,"3","0"
y030N,Dexamethasone sod phos [mskel] ... Dexamethasone sodium phosphate [musculoskeletal use] ... ,"3","0"
y030O,Hydrocortisone acet [musc-skel ... Hydrocortisone acetate [musculoskeletal use] ... ,"3","0"
YamEc,Serum prednisolone level ...  ... ,"3","0"
y03pN,Quinoderm+hydrocortisone cream ...  ... ,"3","0"
y02M0,Zinnat 125mg/sachet granules ...  ... ,"3","1"
y0C5m,Levofloxacin ...  ... ,"3","1"
y0C5t,Tavanic ...  ... ,"3","1"
y0GqM,Clarithromy 125mg grans straw ... Clarithromycin 125mg granules straw ... ,"3","1"
y00lK,Dexamethasone eye drops ...  ... ,"3","0"
YMI1s,[X] Adv react to erythromycin ... [X] Adverse reaction to erythromycin ... ,"3","1"
y02M9,Cefuroxime 1.5g inj pdr ... Cefuroxime 1.5g injection (pdr for recon) ... ,"3","1"
y0EfQ,Cefalexin ...  ... ,"3","1"
y0EfT,Cefalexin 500mg capsule ...  ... ,"3","1"
y0EfV,Cefalexin 500mg tablet ...  ... ,"3","1"
y0EfW,Cefalexin 125mg/5mL oral susp ... Cefalexin 125mg/5mL oral suspension ... ,"3","1"
y0EfZ,Cefalexin 125mg/5mL syrup ...  ... ,"3","1"
yz4Nh,DEXAMETHASONE 6.6mg/2mL inj ... DEXAMETHASONE 6.6mg/2mL solution for injection ... ,"3","0"
y049a,Topical dexamethasone ...  ... ,"3","0"
y04AK,Oral methylprednisolone ...  ... ,"3","0"
YalqG,Amoxicillin allergy ...  ... ,"3","1"
y00t1,Hydrocortisone 1% cream 30g ...  ... ,"3","0"
y00t4,Hydrocortisone 0.1% cream 30g ...  ... ,"3","0"
y00t5,Hydrocortisone 0.125% cream ...  ... ,"3","0"
y00t6,Hydrocortisone 0.5% cream 15g ...  ... ,"3","0"
y00t7,Hydrocortisone 0.5% cream 30g ...  ... ,"3","0"
y00t8,Hydrocortisone 0.5% cream 50g ...  ... ,"3","0"
y00tS,Hydrocortisone 1% oint 100g ... Hydrocortisone 1% ointment 100g ... ,"3","0"
y0IMg,LEVOFLOXACIN 5mg/mL sd eye dps ... LEVOFLOXACIN 5mg/mL single-use eye drops ... ,"3","1"
YMIFN,[X] Adv react to dexamethasone ... [X] Adverse reaction to dexamethasone ... ,"3","0"
y00S9,Deltastab 25mg/1mL injection ...  ... ,"3","0"
y02ZE,Hydrocortisone 100mg inj pdr ... Hydrocortisone 100mg injection (pdr for recon) ... ,"3","0"
y02ZJ,Solu-Cortef 100mg inj pdr+dil ... Solu-Cortef 100mg injection (pdr for recon)+diluent ... ,"3","0"
y02Zb,Methylprednisolone 4mg tablet ...  ... ,"3","0"
y02Ze,Methylpredn 125mg inj pdr+dil ... Methylprednisolone 125mg injection (pdr for recon)+diluent ... ,"3","0"
y02Zh,Methylpred+lig 80/20mg/2mL inj ... Methylprednisolone acetate+lignocaine HCl 80/20mg/2mL inj ... Methylprednisolone acetate+lignocaine hydrochloride 80/20mg/2mL injection,"3","0"
y02a6,Prednisone ...  ... ,"3","0"
y02a7,Prednisone 1mg tablet ...  ... ,"3","0"
y08mF,Keflex ...  ... ,"3","1"
YabUG,Inj hydrocort acet ankle jt ... Injection of hydrocortisone acetate into ankle joint ... ,"3","0"
Y7GPx,Hydrocortisone day curve ...  ... ,"3","0"
"4Q220",Post ovnght dexamet cortisl lv ... Post overnight dexamethasone cortisol level ... ,"2","0"
"7L189",Intramus inject methylpredniso ... Intramuscular injection of methylprednisolone ... ,"2","0"
j43w.,METHYLPRED ACET 40mg/1mL inj ... METHYLPREDNISOLONE ACET 40mg/1mL injection ... ,"2","0"
j43z.,METHYLPREDNIS AC 80mg/2mL vial ... METHYLPREDNISOLONE ACETATE 80mg/2mL vials ... ,"2","0"
j44z.,PREDNISOLONE ACET 25mg/1mL inj ... PREDNISOLONE ACETATE 25mg/1mL injection ... ,"2","0"
k645.,DEXAMETHASONE 0.1% s-d eye drp ... DEXAMETHASONE SODIUM PHOSPHATE 0.1% single-use eye drops ... ,"2","0"
k64x.,*DEXAMETHASONE COMP eye oint ... DEXAMETHASONE COMPOUND eye ointment ... ,"2","0"
k66A.,*NEO-CORTEF eye ointment ...  ... ,"2","0"
k66y.,*HYDROCORTISONE ACET eye oint ... HYDROCORTISONE ACETATE eye ointment ... ,"2","0"
ai26.,PREDNISOLONE 20mg/100mL enema ...  ... ,"2","0"
ai2b.,PREDNISOLONE 20mg foam 25g ... PREDNISOLONE 20mg/dose rectal foam 25g ... ,"2","0"
l8C..,TRAMAZOLINE+DEXAMETHASONE ... TRAMAZOLINE HYDROCHLORIDE+DEXAMETHASONE ISONICOTINATE ... ,"2","0"
m413.,HYDROCORTISONE 1% cream 50g ...  ... ,"2","0"
m414.,HYDROCORTISONE 1% cream 100g ...  ... ,"2","0"
m415.,HYDROCORTISONE 0.1% cream 30g ...  ... ,"2","0"
m418.,*HYDROCORTISONE 0.5% cream 30g ...  ... ,"2","0"
m41A.,HYDROCORTISONE 2.5% cream 15g ...  ... ,"2","0"
m41D.,HYDROCORTISONE 1% aq cream ... HYDROCORTISONE 1% aqueous cream ... ,"2","0"
m4lz.,HYDROCORTISONE BUT 0.1% lotion ... HYDROCORTISONE BUTYRATE 0.1% scalp lotion ... ,"2","0"
m679.,*ERYTHROMYCIN 3% topical gel ... ERYTHROMYCIN 3% in benzoyl peroxide topical gel ... ,"2","1"
m67A.,*ERYTHROMYCIN 2% topical gel ...  ... ,"2","1"
l364.,*NEO-CORTEF ear ointment 3.9g ...  ... ,"2","0"
TJ033,Clarithromycin adverse react ... Clarithromycin adverse reaction ... ,"2","1"
SL041,Doxycycline poisoning ...  ... ,"2","1"
e3z..,AMOXICILLIN [GENERIC ADDN] ... AMOXICILLIN [GENERIC ADDITIONS] ... ,"2","1"
e3zr.,AMOXICILLIN 250mg injection ...  ... ,"2","1"
e3zt.,AMOXICILLIN 1g injection ...  ... ,"2","1"
e614.,CEFACLOR 250mg capsules ...  ... ,"2","1"
e618.,CEFACLOR 500mg capsules ...  ... ,"2","1"
e686.,CEFUROXIME 125mg tablets ...  ... ,"2","1"
e68a.,CEFUROXIME 125mg/5mL susp ... CEFUROXIME 125mg/5mL suspension ... ,"2","1"
e68b.,*ZINNAT 125mg/sachet susp ... ZINNAT 125mg/sachet suspension ... ,"2","1"
e68c.,*CEFUROXME 125mg/sach for susp ... CEFUROXIME 125mg/sach for suspension ... ,"2","1"
e68g.,*CEFUROX+METROND 750/500mg inf ... CEFUROXIME+METRONIDAZOLE 750mg/500mg infusion kit ... ,"2","1"
e68w.,*CEFUROXIME 1.5g infusion pdr ...  ... ,"2","1"
e68z.,CEFUROXIME 1.5g injection ...  ... ,"2","1"
e69..,CEFALEXIN ...  ... ,"2","1"
e911.,ERYTHROMYCIN 250mg e/c tablets ...  ... ,"2","1"
e91A.,*ERYTHROPED FORTE grans 500mg ... ERYTHROPED FORTE granules 500mg/sachet ... ,"2","1"
e91B.,*ERYTHROPED P.I. 125mg/sachet ... ERYTHROPED P.I. granules 125mg/sachet ... ,"2","1"
e91N.,*ERYTHROMYCIN 250mg/sach grans ... ERYTHROMYCIN 250mg/sachet granules ... ,"2","1"
e91P.,ERYTHROMYCIN 500mg/sach grans ... ERYTHROMYCIN 500mg/sachet granules ... ,"2","1"
e91X.,ERYTHROM 250mg e/c gran in cap ... ERYTHROMYCIN 250mg e/c granules in capsules ... ,"2","1"
e923.,CLARITHROMYCIN 125mg/5mL susp ... CLARITHROMYCIN 125mg/5mL paediatric suspension ... ,"2","1"
e925.,CLARITHROMYCIN 500mg inj pdr ... CLARITHROMYCIN 500mg injection (pdr for recon) ... ,"2","1"
e92A.,KLARICID XL 500mg m/r tablets ...  ... ,"2","1"
e92F.,*CLARITHROMY 125mg grans straw ... CLARITHROMYCIN 125mg granules straw ... ,"2","1"
e93..,AZITHROMYCIN DIHYDRATE ...  ... ,"2","1"
e934.,ZITHROMAX 40mg/mL susp 15mL ... ZITHROMAX 40mg/mL suspension 15mL ... ,"2","1"
e938.,*ZITHROMAX 500mg tablets ...  ... ,"2","1"
e93D.,AZITHROMYCIN 500mg pdr for inj ... AZITHROMYCIN 500mg powder for solution for injection ... ,"2","1"
e31..,AMOXICILLIN ...  ... ,"2","1"
e315.,AMOXIL 250mg capsules ...  ... ,"2","1"
e317.,*AMOXIL 500mg disp tablets ... AMOXIL 500mg dispersible tablets ... ,"2","1"
e31e.,*AMOXIL 250mg injection ...  ... ,"2","1"
e31g.,AMOXIL 1g injection ...  ... ,"2","1"
e31m.,AUGMENTIN 1.2g i-v injection ... AUGMENTIN 1.2g intravenous injection ... ,"2","1"
e31Q.,CO-AMOXICLAV 125/31mg/5mL susp ... CO-AMOXICLAV 125/31mg in 5mL suspension ... ,"2","1"
e31w.,*CO-AMOXICLAV 125mg/mL susp ... CO-AMOXICLAV 125mg/mL suspension ... ,"2","1"
e31y.,CO-AMOXICLAV 1.2g injection ...  ... ,"2","1"
e31z.,CO-AMOXICLAV 250/62in5mL susp ... CO-AMOXICLAV 250/62 in 5mL suspension ... ,"2","1"
e69i.,KEFLEX 250mg capsules ...  ... ,"2","1"
e69j.,KEFLEX 500mg capsules ...  ... ,"2","1"
eg6..,CIPROFLOXACIN ...  ... ,"2","1"
eg64.,CIPROXIN 500mg tablets ...  ... ,"2","1"
eg65.,CIPROXIN 750mg tablets ...  ... ,"2","1"
eg6v.,CIPROFLOXACIN 750mg tablets ...  ... ,"2","1"
eg6x.,CIPROFLOXACIN 250mg tablets ...  ... ,"2","1"
egC5.,TAVANIC 500mg tablets ...  ... ,"2","1"
"46Li.",Urine tetrahydrocortisone lev ... Urine tetrahydrocortisone level ... ,"2","0"
"46Lj.",Ur tetrahydr excr per meas vol ... Urine tetrahydrocortisone excretion per measured volume ... ,"2","0"
"46gr.",Ur tethydrcortison:creat ratio ... Urine tetrahydrocortisone:creatinine ratio ... ,"2","0"
fe3..,DEXAMETHASONE [ENDOCRINE] ...  ... ,"2","0"
fe32.,DEXAMETHASONE 2mg tablets ...  ... ,"2","0"
fe33.,*DECADRON 500mcg tablets ... DECADRON 500micrograms tablets ... ,"2","0"
fe3B.,DEXAMETHASONE 10mg/5mL soln ... DEXAMETHASONE 10mg/5mL oral solution ... ,"2","0"
fe3x.,*DEXAMETHASONE 100mg/5mL inj ... DEXAMETHASONE 100mg/5mL injection ... ,"2","0"
fe41.,HYDROCORTISONE 10mg tablets ...  ... ,"2","0"
fe46.,HYDROCORTISONE 100mg injection ...  ... ,"2","0"
fe4f.,HYDROCORTISONE 5mg m/r tablets ...  ... ,"2","0"
fe5n.,METHYLPREDNISOLONE 2mg tablets ...  ... ,"2","0"
fe5t.,METHYLPREDN 125mg inj pdr+dil ... METHYLPREDNISOLONE 125mg injection powder+diluent ... ,"2","0"
fe5v.,METHYLPREDNISOL 1g inj pdr+dil ... METHYLPREDNISOLONE 1g injection powder+diluent ... ,"2","0"
fe5w.,METHYLPREDNISOL 2g inj pdr+dil ... METHYLPREDNISOLONE 2g injection powder+diluent ... ,"2","0"
fe61.,PREDNISOLONE 1mg tablets ...  ... ,"2","0"
fe6a.,*DELTASTAB 5mg tablets ...  ... ,"2","0"
fe6i.,PREDNISOLONE 5mg e/c tablets ...  ... ,"2","0"
m424.,HYDROCORTISONE 1% oint 100g ... HYDROCORTISONE 1% ointment 100g ... ,"2","0"
m42B.,*HYDROCORTISONE 2.5% oint 30g ... HYDROCORTISONE 2.5% ointment 30g ... ,"2","0"
m42D.,HYDROCORTISONE 1% ointment 50g ...  ... ,"2","0"
m44z.,HYDROCORTIS+UREA 1.0%/10% crm ... HYDROCORTISONE+UREA 1.0%/10% cream ... ,"2","0"
m45t.,*VIOFORM-HYDROCORTSONE crm 30g ... VIOFORM-HYDROCORTISONE cream 30g ... ,"2","0"
m45T.,*HYDROCORT+FUSIDIC 1%/2% oint ... HYDROCORTISONE ACETATE+FUSIDIC ACID 1%/2% ointment ... ,"2","0"
m45V.,HYDROCORT+FUSIDIC 1%/2% cream ... HYDROCORTISONE ACETATE+FUSIDIC ACID 1%/2% cream ... ,"2","0"
m45Z.,HYDROCORT+CLOTRIMAZ 1%/1% crm ... HYDROCORTISONE+CLOTRIMAZOLE 1%/1% cream ... ,"2","0"
"7G2A7",Subcut injec hydrocort acetate ... Subcutaneous injection of hydrocortisone acetate ... ,"2","0"
fe6o.,PEVANTI 25mg tablets ...  ... ,"2","0"
fe6u.,*PREDNISOLONE 32mg/2mL inj ... PREDNISOLONE 32mg/2mL injection ... ,"2","0"
fe6v.,PREDNISOLONE 2.5mg tablets ...  ... ,"2","0"
fe6v.,*PREDNISOLONE 2.5mg tablets ...  ... ,"2","0"
fe6y.,*PREDNISOLONE 125mg/5mL inj ... PREDNISOLONE 125mg/5mL injection ... ,"2","0"
TJ202,AR - dexamethasone ... Adverse reaction to dexamethasone ... ,"2","0"
TJ207,AR - prednisone ... Adverse reaction to prednisone ... ,"2","0"
y02Yz,Decadron 500micrograms tablet ...  ... ,"3","0"
YapsZ,Urine tetrahydrocortisone lev ... Urine tetrahydrocortisone level ... ,"3","0"
y02PI,Erythromy 250mg/5mL s/f susp ... Erythromycin 250mg/5mL s/f suspension ... ,"3","1"
y02PQ,Erythromycin 250mg capsule ...  ... ,"3","1"
y02PS,Erythrop Forte 500mg/5mL susp ... Erythroped Forte 500mg/5mL suspension ... ,"3","1"
y02Pf,Erythroped A 1g/sach granules ... Erythroped A 1g/sachet granules ... ,"3","1"
y02Ph,Clarithromycin ...  ... ,"3","1"
y03X6,Eurax-Hydrocortisone cream ...  ... ,"3","0"
y03XA,Hydrocortisone+chloramphenicol ...  ... ,"3","0"
y03XB,Neo-Cortef eye/ear drops ...  ... ,"3","0"
y03XC,Neo-Cortef eye/ear ointment ...  ... ,"3","0"
y03XH,Hydrocortisone+dimethicone ... Hydrocortisone+dimethicone '350' ... ,"3","0"
y03Xg,Hydrocortisone+oxytetracycline ...  ... ,"3","0"
y03Xo,Hydrocortisone+chlorquinaldol ...  ... ,"3","0"
y03Xv,Prednisolone 0.03% eye drops ...  ... ,"3","0"
y03Xw,Prednisolone 0.1% pres fr e/d ... Prednisolone 0.1% preservative-free eye drops ... ,"3","0"
y03YE,Methylpred+neomy 0.25/0.5% crm ... Methylprednisolone acetate+neomycin sulphate 0.25/0.5% cream ... ,"3","0"
y00NF,Doxycycline 50mg/5mL syrup ...  ... ,"3","1"
y00Nu,Erythroped 250mg/sachet s/f ... Erythroped 250mg/sachet sugar free granules ... ,"3","1"
y00Ny,Zithromax 40mg/mL susp 15mL ... Zithromax 40mg/mL suspension 15mL ... ,"3","1"
y0A43,Clarithromycin 500mg m/r tab ... Clarithromycin 500mg m/r tablet ... ,"3","1"
YaREH,HCDC - Hydrocortison day curve ... HCDC - Hydrocortisone day curve ... ,"3","0"
YaSXw,Co-amoxiclav adverse reaction ...  ... ,"3","1"
YaTVT,Cefaclor overdose ...  ... ,"3","1"
YaTVY,Accidental cefuroxime overdose ...  ... ,"3","1"
YaTVZ,Intentional cefuroxime OD ... Intentional cefuroxime overdose ... ,"3","1"
YaTWQ,Doxycycline OD undeterm int ... Doxycycline overdose of undetermined intent ... ,"3","1"
YaSaU,Prednisone adverse reaction ...  ... ,"3","0"
YaSaq,Top comp dexametha prep adv re ... Topical compound dexamethasone preparation adverse reaction ... ,"3","0"
y00S3,Methylprednisolone 1g inj ... Methylprednisolone 1g injection ... ,"3","0"
yz8e1,PEVANTI 5mg tablets ...  ... ,"3","0"
y01Cj,Hydrocortisone 2.5% cream 15g ...  ... ,"3","0"
y01Co,Hydrocortisone 2.5% oint 50g ... Hydrocortisone 2.5% ointment 50g ... ,"3","0"
y01D3,Dexamethasone comp eye oint ... Dexamethasone compound eye ointment ... ,"3","0"
y02I2,Amoxil 250mg capsule ...  ... ,"3","1"
y02I5,Amoxil SF 125mg/5mL s/f susp ... Amoxil SF 125mg/5mL s/f suspension ... ,"3","1"
y02IB,Amoxil 750mg/sachet s/f powder ...  ... ,"3","1"
y02IL,Augmentin 375mg tablet ...  ... ,"3","1"
y02IX,Amoxil Fiztab 500mg s/f chewab ... Amoxil Fiztab 500mg s/f chewable tablet ... ,"3","1"
y02IZ,Augmentin 250/62mg/5mL susp ... Augmentin 250mg/62mg/5mL s/f suspension ... ,"3","1"
Yaw95,Tetrahydrocortisone/creat rtio ... Tetrahydrocortisone/creatinine ratio ... ,"3","0"
yz7Rp,AZITHROMYCIN 500mg pdr for inj ... AZITHROMYCIN 500mg powder for solution for injection ... ,"3","1"
y04AM,Parenteral methylprednisolone ...  ... ,"3","0"
y04Av,Topical cpd hydrocortis. prep. ... Topical compound hydrocortisone preparation ... ,"3","0"
y01AQ,Erythroped 125mg/5mL s/f susp ... Erythroped P.I. 125mg/5mL sugar free suspension 140mL ... ,"3","1"
y00lF,Dexamethasone [eye] ...  ... ,"3","0"
y00lL,Dexamethasone eye ointment ...  ... ,"3","0"
y00lP,Hydrocortisone acetate [eye] ...  ... ,"3","0"
y00lU,Neo-Cortef eye drops ...  ... ,"3","0"
y00lV,Hydrocortisone acet eye oint ... Hydrocortisone acetate eye ointment ... ,"3","0"
y08Fr,Dexamethasone 2mg/5mL s/f soln ... Dexamethasone 2mg/5mL s/f oral solution ... ,"3","0"
y0043,Rectal hydrocortisone ...  ... ,"3","0"
y0046,Rectal prednisolone ...  ... ,"3","0"
YaSCK,Intentional doxycycline poison ... Intentional doxycycline poisoning ... ,"3","1"
YaSCL,Doxycycline pois undeterm int ... Doxycycline poisoning of undetermined intent ... ,"3","1"
y0BrX,Ciprofloxacin product ...  ... ,"3","1"
YaSyv,Topical hydrocortisone allergy ...  ... ,"3","0"
YaSyw,Top comp hydrocort prep allerg ... Topical compound hydrocortisone preparation allergy ... ,"3","0"
YaSyx,Prednisone allergy ...  ... ,"3","0"
YaSzH,Dexamethasone allergy ...  ... ,"3","0"
YaSzI,Topical dexamethasone allergy ...  ... ,"3","0"
YaSzN,Prednisolone drops allergy ...  ... ,"3","0"
y083T,Dexamethasone 2mg/5mL liquid ...  ... ,"3","0"
y083o,Neo-Cortef eye ointment ...  ... ,"3","0"
YB01y,Radiobioassay - hydrocortisone ...  ... ,"3","0"
Yalo8,Accidental cefalexin overdose ...  ... ,"3","1"
YaloU,Cefalexin poisoning ...  ... ,"3","1"
YalpC,Cefalexin OD undetermin int ... Cefalexin overdose of undetermined intent ... ,"3","1"
y08VL,Augmentin Duo 400mg/57mg susp ... Augmentin Duo 400mg/57mg/5mL s/f suspension ... ,"3","1"
yz53g,LEVOFLOXACIN 250mg/50mL inf ... LEVOFLOXACIN 250mg/50mL solution for infusion ... ,"3","1"
Y7GQ0,Dexamethasone suppression test ...  ... ,"3","0"
YM4Ih,Tetrahydrocortisone ...  ... ,"3","0"
YaqTL,Amoxicillin RAST test ...  ... ,"3","1"
YSPCT,Tetrahydrocortisone measuremen ... Tetrahydrocortisone measurement ... ,"3","0"
YalsP,AR - amoxicillin ... Adverse reaction to amoxicillin ... ,"3","1"
YalsZ,Cefalexin pois undetermin int ... Cefalexin poisoning of undetermined intent ... ,"3","1"
y0ApD,Augmentin Duo ...  ... ,"3","1"
y08ew,Deltastab ...  ... ,"3","0"
YabUH,Inj hydrocort acetat knee jt ... Injection of hydrocortisone acetate into knee joint ... ,"3","0"
YabWq,Methylprednisolone pulse thera ... Methylprednisolone pulse therapy ... ,"3","0"
y08BR,Prednisolone 0.5% eye drops ...  ... ,"3","0"
y0AXC,Klaricid adult 250mg/sach gran ... Klaricid adult 250mg/sachet granules ... ,"3","1"
YaVDV,Erythromycin sensitivity ...  ... ,"3","1"
YMI3O,[X]Adv reac methylprednisolone ... [X] Adverse reaction to methylprednisolone ... ,"3","0"
y0F4f,Moxifloxacin 400mg tablet ...  ... ,"3","1"
Y73Gx,AR - prednisolone ... Adverse reaction to prednisolone ... ,"3","0"
YaSvp,Ciprofloxacin allergy ...  ... ,"3","1"
YaSxP,Doxycycline allergy ...  ... ,"3","1"
y00S4,Methylprednisol 200mg/5mL inj ... Methylprednisolone 200mg/5mL injection ... ,"3","0"
y00SC,Prednisolone 125mg/5mL inj ... Prednisolone 125mg/5mL injection ... ,"3","0"
y02ZM,Methylprednisolone ...  ... ,"3","0"
y02Zf,Methylpredn 500mg inj pdr+dil ... Methylprednisolone 500mg injection (pdr for recon)+diluent ... ,"3","0"
y02Zi,Methylprednisol 2g inj pdr+dil ... Methylprednisolone 2g injection (pdr for recon)+diluent ... ,"3","0"
y02Zk,Methylpred acet 40mg/1mL inj ... Methylprednisolone acetate 40mg/1mL injection ... ,"3","0"
y02Zm,Methylpred acet 80mg/2mL inj ... Methylprednisolone acetate 80mg/2mL injection ... ,"3","0"
y02Zn,Methylprednisol 500mg/10mL inj ... Methylprednisolone 500mg/10mL injection ... ,"3","0"
y02Zo,Methylprednisolone 1g/20mL inj ... Methylprednisolone 1g/20mL injection ... ,"3","0"
y02Zu,Deltastab 1mg tablet ...  ... ,"3","0"
y02a5,Prednisolone 25mg tablet ...  ... ,"3","0"
yz4Ni,DEXAMETHASONE 3.3mg/1mL inj ... DEXAMETHASONE 3.3mg/1mL solution for injection ... ,"3","0"
y0Egp,Amoxicillin 500mg capsule ...  ... ,"3","1"
y0Eh0,Amoxicillin 1g inj pdr ... Amoxicillin 1g injection (pdr for recon) ... ,"3","1"
YaS9s,Azithromycin poisoning ...  ... ,"3","1"
YaS9z,Clarithromycin pois undete int ... Clarithromycin poisoning of undetermined intent ... ,"3","1"
y0363,Hydrocor+neomycin 1%/0.5% oint ... Hydrocortisone+neomycin 1%/0.5% ointment ... ,"3","0"
y0IrW,CLAMELLE AZTHRMYCIN 500mg tabs ... CLAMELLE AZITHROMYCIN 500mg tablets ... ,"3","1"
y01Sh,Hydrocortisone 25mg supp ... Hydrocortisone 25mg suppository ... ,"3","0"
y01Sp,Prednisolone 5mg suppository ...  ... ,"3","0"
y0GqO,Clarithrom 187.5mg grans straw ... Clarithromycin 187.5mg granules straw ... ,"3","1"
yz82s,DEXAMETHASONE 3.8mg/1mL inj ... DEXAMETHASONE 3.8mg/1mL solution for injection ... ,"3","0"
y00xG,Hydrocortisone butyrate ...  ... ,"3","0"
y00xS,Methylprednis acet 0.25% crm ... Methylprednisolone acet 0.25% cream ... ,"3","0"
y0AiN,Vibramycin-D ...  ... ,"3","1"
y0Brn,Hydrocortisone product ...  ... ,"3","0"
y08dP,Ciproxin ...  ... ,"3","1"
y0AsW,Decadron Shock-Pak ...  ... ,"3","0"
YaSBF,Cefaclor poisoning ...  ... ,"3","1"
y03A2,Hydrocort+miconazole 1%/2% crm ... Hydrocortisone+miconazole nitrate 1%/2% cream ... ,"3","0"
YaTWN,Doxycycline overdose ...  ... ,"3","1"
y0CZq,Dexameth+hypromel 0.1/0.5% e/d ... Dexamethasone+hypromellose 0.1%/0.5% eye drops ... ,"3","0"
ai11.,HYDROCORTISONE 25mg supps ... HYDROCORTISONE 25mg suppositories ... ,"2","0"
l22..,PREDNISOLONE SOD PHOS [EAR] ... PREDNISOLONE SODIUM PHOSPHATE [EAR] ... ,"2","0"
fe6k.,PREDNISOLONE 50mg tablets ...  ... ,"2","0"
fe6n.,PEVANTI 2.5mg tablets ...  ... ,"2","0"
fe6q.,PEVANTI 10mg tablets ...  ... ,"2","0"
fe6r.,PEVANTI 20mg tablets ...  ... ,"2","0"
fe6w.,*PREDNISOLONE 2.5mg tablets ...  ... ,"2","0"
fe72.,*PREDNISONE 5mg tablets ...  ... ,"2","0"
fe7x.,PREDNISONE 5mg m/r tablets ...  ... ,"2","0"
y039z,Hydrocort+fusidic 1%/2% cream ... Hydrocortisone acetate+fusidic acid 1%/2% cream ... ,"3","0"
y03AR,HC but+chlorquinal 0.1%/3% crm ... Hydrocortisone butyrate+chlorquinaldol 0.1%/3% cream ... ,"3","0"
yz3sG,AVELOX 400mg/250mL soln inf ... AVELOX 400mg/250mL solution for infusion ... ,"3","1"
y0F6G,Avelox ...  ... ,"3","1"
yz8e3,PEVANTI 20mg tablets ...  ... ,"3","0"
y02Lu,Zinnat 250mg tablet ...  ... ,"3","1"
y02Lv,Cefuroxime 125mg tablet ...  ... ,"3","1"
y02Lw,Cefuroxime 250mg tablet ...  ... ,"3","1"
